,tiempo,producto,transporte,origen,destino,costo,valor_decision
385,5,LDPE POLIFEN 640,8.5,CBOD,CGNA_CEDI,2990000.0,0.00013764705882352943
386,5,LDPE POLIFEN 640,4.5,CBOD,CGNA_CEDI,2425000.0,0.00026000000000000003
387,5,LDPE POLIFEN 641,1.0,ABOD,ABOD,64488.0,34.0
389,5,LDPE POLIFEN 641,34.0,CBOD,CGNA_CEDI,6190000.0,0.004861764705882352
390,5,LDPE POLIFEN 641,17.0,CBOD,CGNA_CEDI,4750000.0,0.00030705882352941174
391,5,LDPE POLIFEN 641,8.5,CBOD,CGNA_CEDI,2990000.0,0.00020470588235294119
392,5,LDPE POLIFEN 641,4.5,CBOD,CGNA_CEDI,2425000.0,0.00038666666666666667
393,5,LDPE USO GEN(SINADI),34.0,CBOD,CGNA_CEDI,6190000.0,0.0013691176470588236
394,5,LDPE USO GEN(SINADI),17.0,CBOD,CGNA_CEDI,4750000.0,8.647058823529411e-05
395,5,LDPE USO GEN(SINADI),8.5,CBOD,CGNA_CEDI,2990000.0,5.764705882352941e-05
396,5,LDPE USO GEN(SINADI),4.5,CBOD,CGNA_CEDI,2425000.0,0.00010888888888888889
397,5,LDPE USO GENERAL,1.0,ABOD,ABOD,64488.0,11.5
398,5,LDPE USO GENERAL,34.0,CBOD,CGNA_CEDI,6190000.0,0.09961029411764705
399,5,LDPE USO GENERAL,17.0,CBOD,CGNA_CEDI,4750000.0,0.006291176470588235
400,5,LDPE USO GENERAL,8.5,CBOD,CGNA_CEDI,2990000.0,0.004194117647058824
401,5,LDPE USO GENERAL,4.5,CBOD,CGNA_CEDI,2425000.0,0.007922222222222223
